,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Hotel Name
0,East London,-33.02,27.91,65.8,52,0,9.37,ZA,1595528311,Premier Hotel Regent
1,Lagoa,39.05,-27.98,69.85,69,0,2.73,PT,1595528396,Ponta Do Carapacho
2,Ayagoz,47.97,80.44,65.55,38,0,6.98,KZ,1595528412,Көп салалы қазақ мектеп-гимназиясы
3,Anapskaya,44.89,37.38,68.0,49,0,8.95,RU,1595528417,Lotos
4,Malanje,-9.54,16.34,69.75,24,0,0.36,AO,1595528426,Banco Millennium Atlântico
5,Karratha,-20.74,116.85,68.56,54,0,4.54,AU,1595528429,Cattrall Park Motel Karratha
6,Mossamedes,-15.2,12.15,69.64,68,0,4.85,AO,1595528450,Polo Universitário do Namibe
7,Krasnoarmeysk,51.02,45.7,70.0,29,0,5.01,RU,1595528454,Торговый Дом Красноармейский
